main_category,sub_category,flower_type,english_name,main_category_en,sub_category_en,small_category,product_name_candidate,product_number,price,product_url
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_d,14,54720,https://example-test-flower.jp/item/14
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_e,15,14355,https://example-test-flower.jp/item/15
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_f,16,17245,https://example-test-flower.jp/item/16
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_0,17,176785,https://example-test-flower.jp/item/17
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_1,18,83328,https://example-test-flower.jp/item/18
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_2,19,38832,https://example-test-flower.jp/item/19
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_3,20,8631,https://example-test-flower.jp/item/20
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_4,21,180723,https://example-test-flower.jp/item/21
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_5,22,100377,https://example-test-flower.jp/item/22
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_6,23,81801,https://example-test-flower.jp/item/23
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_7,24,113911,https://example-test-flower.jp/item/24
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_8,25,156549,https://example-test-flower.jp/item/25
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_9,26,66702,https://example-test-flower.jp/item/26
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_a,27,166865,https://example-test-flower.jp/item/27
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_b,28,73069,https://example-test-flower.jp/item/28
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_c,29,6468,https://example-test-flower.jp/item/29
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_d,30,4232,https://example-test-flower.jp/item/30
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_e,31,36256,https://example-test-flower.jp/item/31
花・観葉植物,花束・切花,ラン,orchid,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/orchid,'花束・切花  ラン'_f,32,59584,https://example-test-flower.jp/item/32
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_0,33,133084,https://example-test-flower.jp/item/33
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_1,34,67874,https://example-test-flower.jp/item/34
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_2,35,79638,https://example-test-flower.jp/item/35
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_3,36,113371,https://example-test-flower.jp/item/36
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_4,37,124261,https://example-test-flower.jp/item/37
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_5,38,45202,https://example-test-flower.jp/item/38
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_6,39,163685,https://example-test-flower.jp/item/39
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_7,40,109958,https://example-test-flower.jp/item/40
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_8,41,24708,https://example-test-flower.jp/item/41
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_9,42,178973,https://example-test-flower.jp/item/42
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_a,43,133629,https://example-test-flower.jp/item/43
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_b,44,59287,https://example-test-flower.jp/item/44
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_c,45,152436,https://example-test-flower.jp/item/45
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_d,46,190420,https://example-test-flower.jp/item/46
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_e,47,150895,https://example-test-flower.jp/item/47
花・観葉植物,花束・切花,バラ,rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/rose,'花束・切花  バラ'_f,48,14421,https://example-test-flower.jp/item/48
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_0,49,59654,https://example-test-flower.jp/item/49
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_1,50,143506,https://example-test-flower.jp/item/50
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_2,51,51270,https://example-test-flower.jp/item/51
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_3,52,189592,https://example-test-flower.jp/item/52
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_4,53,155714,https://example-test-flower.jp/item/53
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_5,54,38758,https://example-test-flower.jp/item/54
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_6,55,53190,https://example-test-flower.jp/item/55
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_7,56,11606,https://example-test-flower.jp/item/56
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_8,57,71957,https://example-test-flower.jp/item/57
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_9,58,149153,https://example-test-flower.jp/item/58
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_a,59,82383,https://example-test-flower.jp/item/59
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_b,60,132374,https://example-test-flower.jp/item/60
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_c,61,49527,https://example-test-flower.jp/item/61
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_d,62,134074,https://example-test-flower.jp/item/62
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_e,63,170272,https://example-test-flower.jp/item/63
花・観葉植物,花束・切花,シクラメン,cyclamen,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cyclamen,'花束・切花  シクラメン'_f,64,118990,https://example-test-flower.jp/item/64
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_0,65,24005,https://example-test-flower.jp/item/65
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_1,66,114147,https://example-test-flower.jp/item/66
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_2,67,119715,https://example-test-flower.jp/item/67
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_3,68,24223,https://example-test-flower.jp/item/68
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_4,69,16313,https://example-test-flower.jp/item/69
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_5,70,33778,https://example-test-flower.jp/item/70
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_6,71,51633,https://example-test-flower.jp/item/71
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_7,72,168140,https://example-test-flower.jp/item/72
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_8,73,128028,https://example-test-flower.jp/item/73
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_9,74,33134,https://example-test-flower.jp/item/74
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_a,75,128819,https://example-test-flower.jp/item/75
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_b,76,159080,https://example-test-flower.jp/item/76
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_c,77,113046,https://example-test-flower.jp/item/77
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_d,78,773,https://example-test-flower.jp/item/78
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_e,79,136760,https://example-test-flower.jp/item/79
花・観葉植物,花束・切花,クリスマスローズ,christmas_rose,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/christmas_rose,'花束・切花  クリスマスローズ'_f,80,125292,https://example-test-flower.jp/item/80
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_0,81,76177,https://example-test-flower.jp/item/81
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_1,82,109146,https://example-test-flower.jp/item/82
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_2,83,27326,https://example-test-flower.jp/item/83
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_3,84,37913,https://example-test-flower.jp/item/84
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_4,85,83843,https://example-test-flower.jp/item/85
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_5,86,1431,https://example-test-flower.jp/item/86
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_6,87,20232,https://example-test-flower.jp/item/87
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_7,88,181544,https://example-test-flower.jp/item/88
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_8,89,109653,https://example-test-flower.jp/item/89
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_9,90,2467,https://example-test-flower.jp/item/90
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_a,91,49895,https://example-test-flower.jp/item/91
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_b,92,158205,https://example-test-flower.jp/item/92
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_c,93,132724,https://example-test-flower.jp/item/93
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_d,94,5568,https://example-test-flower.jp/item/94
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_e,95,163419,https://example-test-flower.jp/item/95
花・観葉植物,花束・切花,アジサイ,hydrangea,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/hydrangea,'花束・切花  アジサイ'_f,96,139649,https://example-test-flower.jp/item/96
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_0,97,161009,https://example-test-flower.jp/item/97
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_1,98,172139,https://example-test-flower.jp/item/98
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_2,99,119283,https://example-test-flower.jp/item/99
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_3,100,67630,https://example-test-flower.jp/item/100
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_4,101,148021,https://example-test-flower.jp/item/101
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_5,102,81582,https://example-test-flower.jp/item/102
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_6,103,67397,https://example-test-flower.jp/item/103
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_7,104,115510,https://example-test-flower.jp/item/104
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_8,105,42636,https://example-test-flower.jp/item/105
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_9,106,51000,https://example-test-flower.jp/item/106
花・観葉植物,花束・切花,カトレア,cattleya,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/cattleya,'花束・切花  カトレア'_a,107,177293,https://example-test-flower.jp/item/107
