category_id,parent_id,level,name_en,url,description
43,3.0,4,特集ページ（節分）,https://example-test-flower.jp/category/event/setsubun,イベント
44,3.0,4,特集ページ（十五夜）,https://example-test-flower.jp/category/event/harvest-moon,イベント
45,3.0,4,特集ページ（還暦祝い・長寿祝い）,https://example-test-flower.jp/category/scene/kanreki,特集
46,3.0,4,特集ページ（出産祝い）,https://example-test-flower.jp/category/scene/baby-shower,特集
47,3.0,4,特集ページ（開店祝い・開業祝い）,https://example-test-flower.jp/category/scene/opening,特集
48,3.0,4,特集ページ（お祝い返し）,https://example-test-flower.jp/category/scene/return-gift,特集
49,3.0,4,特集ページ（お見舞い）,https://example-test-flower.jp/category/scene/hospital-visit,特集
50,3.0,4,特集ページ（新築引っ越し祝い）,https://example-test-flower.jp/category/scene/housewarming,特集
51,3.0,4,特集ページ（プロポーズ）,https://example-test-flower.jp/category/scene/propose,特集
52,3.0,4,特集ページ（退職祝い）,https://example-test-flower.jp/category/scene/retirement,特集
53,3.0,4,特集ページ（結婚記念日）,https://example-test-flower.jp/category/scene/anniversary,特集
54,3.0,4,特集ページ（結婚祝い）,https://example-test-flower.jp/category/scene/wedding,特集
55,3.0,4,特集ページ（退院祝い・快気祝い）,https://example-test-flower.jp/category/scene/recovery,特集
56,1.0,2,ログイン,https://example-test-flower.jp/login,ユーザー
57,1.0,2,アカウント登録,https://example-test-flower.jp/register,ユーザー
58,1.0,2,マイページ,https://example-test-flower.jp/mypage,ユーザー
59,1.0,2,パスワードリセット,https://example-test-flower.jp/password-reset,ユーザー
60,1.0,2,お届け先情報入力,https://example-test-flower.jp/shipping,購入フロー
61,1.0,2,支払い情報入力,https://example-test-flower.jp/payment,購入フロー
62,1.0,2,利用規約,https://example-test-flower.jp/terms,ガイドライン
63,1.0,2,プライバシーポリシー,https://example-test-flower.jp/privacy,ガイドライン
64,1.0,2,FAQ,https://example-test-flower.jp/faq,サポート
65,1.0,2,会社概要,https://example-test-flower.jp/about,ガイドライン
66,2.0,3,セール商品,https://example-test-flower.jp/category/sale,キャンペーン
67,2.0,3,新商品,https://example-test-flower.jp/category/new-arrivals,最新情報
68,2.0,3,人気商品ランキング,https://example-test-flower.jp/category/ranking,ランキング
69,2.0,3,詳細検索,https://example-test-flower.jp/search/advanced,検索
